POINTS,FIRST_NAME,LAST_NAME,CITY,STATE,LICENSE,AGE,GENDER,DISCIPLINE,CATEGORY
201.61,Olivia,Dillon,Fairfax,CA,232172,40,F,Road:RR,PR
202.21,Christina,Gokey-Smith,Denton,TX,217750,40,F,Road:RR,PR
204.04,Alisha,Welsh,Tucson,AZ,276369,30,F,Road:RR,PR
204.19,Devon,Gorry,Logan,UT,210903,32,F,Road:RR,PR
206.42,Amy,McGuire,Jamaica Plain,MA,221594,32,F,Road:RR,PR
207.62,Mary,Elizabeth Maroon,Sacramento,CA,219555,36,F,Road:RR,PR
209.66,Amity,Elliot,Boulder,CO,222471,37,F,Road:RR,PR
212.20,Kaitlin,Antonneau,Racine,WI,200237,21,F,Road:RR,PR
212.57,Addyson,Albershardt,Matthews,NC,287411,19,F,Road:RR,PR
216.25,Molly,Van Houweling,Berkeley,CA,201051,40,F,Road:RR,PR
224.29,Kaelly,Farnham,Santa Rosa,CA,290436,27,F,Road:RR,PR
231.87,Liza,Rachetto,Los Altos,CA,145511,39,F,Road:RR,PR
233.16,Jennifer,Purcell,Austin,TX,193628,35,F,Road:RR,PR
242.82,Coryn,Rivera,Tustin,CA,207432,21,F,Road:RR,PR
245.15,Ashley,James,Dousman,WI,219841,23,F,Road:RR,PR
245.38,Anna,Barensfeld,Wellesley,MA,234148,30,F,Road:RR,PR
252.83,Lauren,De Crescenzo,Boulder,CO,310650,23,F,Road:RR,PR
257.34,Melissa,Ross,Scottsdale,AZ,212478,28,F,Road:RR,PR
273.50,Allison,Arensman,Rutherford College,NC,307916,19,F,Road:RR,PR
280.51,Vanessa,Drigo,Charlotte,NC,257356,41,F,Road:RR,PR
283.81,Starla,Teddergreen,Mill Valley,CA,202033,34,F,Road:RR,PR
284.89,Natalie,Koch,Syracuse,NY,287336,28,F,Road:RR,PR
305.26,Rebecca,Balboni,Durango,CO,345588,33,F,Road:RR,PR
310.23,Jennifer,Perricone,Lake Mills,WI,258437,25,F,Road:RR,PR
311.70,Cinthia,Lehner,Greer,SC,272896,22,F,Road:RR,PR
322.51,Jenna,Kowalski,Los Angeles,CA,234400,27,F,Road:RR,PR
393.44,Christy,Keely,Greenville,SC,267467,28,F,Road:RR,PR
413.35,Rachel,Byus,Argyle,TX,260379,27,F,Road:RR,PR
420.02,Christine,Kelley,Middletown,MD,166665,48,F,Road:RR,PR
450.55,Grace,Alexander,Boise,ID,251513,19,F,Road:RR,PR
464.65,Corrie,Osborne,Mequon,WI,298510,18,F,Road:RR,PR
464.74,Sheila,Orem,Mt Airy,NC,126277,40,F,Road:RR,PR
465.46,Jennifer,Valente,San Diego,CA,293380,19,F,Road:RR,PR
470.81,Rebecca,Blatt,Lakewood,CO,241201,33,F,Road:RR,PR
478.82,Zoe,Reker,Littlecanada,MN,290558,21,F,Road:RR,PR
479.78,Judy,Jenkins,Tucson,AZ,263876,33,F,Road:RR,PR
479.88,Colleen,Gulick,Spring City,PA,180423,22,F,Road:RR,PR
483.26,Kelly,Fisher-Goodwin,Langley Afb,VA,184788,38,F,Road:RR,PR
499.23,Julie,Jerue,Lakeland,FL,217819,35,F,Road:RR,PR
499.74,Catherine,Walberg,Topeka,KS,36933,51,F,Road:RR,PR
519.74,Elizabeth,Lauer,Madison,WI,290993,29,F,Road:RR,PR
524.45,Jennifer,Weinbrecht,La Jolla,CA,267997,38,F,Road:RR,PR
535.74,Tiffany,Pezzulo,Salt Lake City,UT,89443,38,F,Road:RR,PR
554.71,Emma,Cribb,Nashville,TN,206603,43,F,Road:RR,PR
558.17,Jennifer,Reither,Boulder,CO,146585,39,F,Road:RR,PR
569.87,Greta,Neimanas,Asheville,NC,223804,25,F,Road:RR,PR
572.75,Kapri,Gonzales,Queen Creek,AZ,307416,22,F,Road:RR,PR
574.52,Melanie,Colavito,Tucson,AZ,196731,28,F,Road:RR,PR
577.03,Stacey,Jensen,Washington,DC,264974,34,F,Road:RR,PR
146.40,Flavia,Oliveira,Livermore,CA,224767,32,F,Road:RR,01
173.30,Amy,Charity,Steamboat Springs,CO,363583,37,F,Road:RR,01
176.28,Alexis,Ryan,Ventura,CA,205156,19,F,Road:RR,01
178.08,E "Scotti" Wilborne,E "Scotti" Wilborne,Little Rock,AR,301155,30,F,Road:RR,01
179.75,Anne,Perry,Draper,UT,339882,40,F,Road:RR,01
186.07,Jessica,Chong,Allentown,PA,303840,28,F,Road:RR,01
191.52,Nicole,Justice,Saratoga,CA,378784,28,F,Road:RR,01
191.92,Amy,Thornquist,Auburn,CA,366700,40,F,Road:RR,01
199.44,Marley,Smith,Roseville,CA,276961,39,F,Road:RR,01
199.56,Julie,Emmerman,Boulder,CO,121552,44,F,Road:RR,01
201.28,Marti,Shea,Marblehead,MA,236900,50,F,Road:RR,01
205.80,Catherine,Johnson,Boulder,CO,185214,36,F,Road:RR,01
207.62,Felicia,Gomez,Fresno,CA,180522,43,F,Road:RR,01
209.56,Beth,Ruiz,Delmar,NY,239476,40,F,Road:RR,01
210.34,Ainhoa,Perez-Diez,Rockville,MD,274754,42,F,Road:RR,01
212.73,Patricia,Buerkle,Philadelphia,PA,131990,36,F,Road:RR,01
213.11,Christine,Schryver,Rochester,NY,31818,53,F,Road:RR,01
213.50,Jenny,Ives,Saratoga Springs,NY,245769,28,F,Road:RR,01
213.58,Anne,Donley,Boulder,CO,227028,36,F,Road:RR,01
219.41,Tanja,Meyer Tamguney,San Francisco,CA,284176,35,F,Road:RR,01
222.67,Kathleen,Giles,Solomons,MD,215759,37,F,Road:RR,01
226.05,Sara,Clafferty,Mountain View,CA,278365,28,F,Road:RR,01
229.56,Melina,Bernecker,Los Angeles,CA,332272,38,F,Road:RR,01
231.73,Julie,Cutts,Las Vegas,NV,236645,45,F,Road:RR,01
232.73,Kathleen,Lysakowski,Quincy,MA,302050,29,F,Road:RR,01
234.40,Lisa,Mueller,Menlo Park,CA,271891,28,F,Road:RR,01
234.83,Rikke,Preisler,Redwood City,CA,293725,38,F,Road:RR,01
235.04,Lindsay,Bayer,Reston,VA,267768,29,F,Road:RR,01
235.42,holly,breck,Santa Ynez,CA,317802,21,F,Road:RR,01
235.92,Andrea,Myers,Danbury,CT,228117,30,F,Road:RR,01
236.85,Laura,Parsons,Miami,FL,298947,31,F,Road:RR,01
238.07,Jane,Despas,Menlo Park,CA,105201,48,F,Road:RR,01
238.88,Alexis,Zink,Bethesda,MD,336976,24,F,Road:RR,01
239.38,Amanda,Watson,Washington,DC,256260,34,F,Road:RR,01
244.34,Erin,Silliman,Richmond,VA,260287,31,F,Road:RR,01
245.55,Debbie,Milne,Greenville,SC,84776,44,F,Road:RR,01
245.63,Amy,Miner,South Burlington,VT,303570,34,F,Road:RR,01
246.72,Amy,Cutler,North Bergen,NJ,301780,27,F,Road:RR,01
248.36,Laura,Van Gilder,Cresco,PA,36345,49,F,Road:RR,01
251.22,Kristen,LaSasso,Miami,FL,151408,38,F,Road:RR,01
252.75,Sheri,Rothe,Austin,TX,221312,28,F,Road:RR,01
255.30,Kelsey,Withrow,Park City,UT,202477,31,F,Road:RR,01
260.79,Kim,Jennings,Waco,TX,222697,33,F,Road:RR,01
261.18,Jane,Robertson,Davis,CA,218607,48,F,Road:RR,01
261.34,Fabienne,Gerard,New York,NY,281037,42,F,Road:RR,01
262.34,Jenny,Park,San Antonio,TX,188342,34,F,Road:RR,01
265.48,Gwen,Inglis,Lakewood,CO,221135,39,F,Road:RR,01
269.10,Kristine,(Kacy) Wander,Philadelphia,PA,300978,32,F,Road:RR,01
269.16,Louise,Smyth,Houston,TX,286102,31,F,Road:RR,01
269.56,Catherine,Moore,Waco,TX,70436,43,F,Road:RR,01
273.96,Ann,Marie Miller,New York,NY,127444,58,F,Road:RR,01
275.03,Sara,Tussey,Winston Salem,NC,185224,34,F,Road:RR,01
276.96,Yvette,LaBombard,Rochester,NY,204106,47,F,Road:RR,01
277.37,Kathleen,Hattaway,Austin,TX,144579,28,F,Road:RR,01
281.03,Suzanne,Sonye,Los Angeles,CA,47513,51,F,Road:RR,01
282.90,Sarah,Sauvayre,New York,NY,118465,53,F,Road:RR,01
284.61,Danielle,Haulman,Davis,CA,181367,23,F,Road:RR,01
288.04,Lisa,Turnbull,Springfield,OR,243750,34,F,Road:RR,01
289.90,Ruth,Clemence,Newport Beach,CA,7113,54,F,Road:RR,01
298.30,Elizabeth,Morse Hill,Saint Petersburg,FL,126302,35,F,Road:RR,01
299.79,Becca,Schepps,Boulder,CO,209762,31,F,Road:RR,01
301.15,Katie,Quinn,Cambridge,MA,311800,26,F,Road:RR,01
305.80,Ivy,Audrain,Seattle,WA,287816,25,F,Road:RR,01
306.47,Amy,Dombroski,Boulder,CO,246803,26,F,Road:RR,01
308.03,Audrey,Friedrichsen,Beacon,NY,273110,40,F,Road:RR,01
308.84,Ginny,King,Dallas,TX,153105,45,F,Road:RR,01
312.09,Ambre,Levy,Fort Lauderdale,FL,194877,36,F,Road:RR,01
313.10,Kim,Ciolli,San Antonio,TX,210485,45,F,Road:RR,01
313.21,Alison,Frye,Salt Lake City,UT,247526,49,F,Road:RR,01
313.53,Marissa,Axell,El Cerrito,CA,269569,35,F,Road:RR,01
313.80,Stephanie,Swan,Pittsburgh,PA,194055,38,F,Road:RR,01
314.19,Kirsten,Darley,Simi Valley,CA,178497,52,F,Road:RR,01
319.03,Sara,Youmans,Ketchum,ID,268528,18,F,Road:RR,01
319.19,Beatriz,Rodriguez,Pomona,CA,253229,27,F,Road:RR,01
319.69,Emily,Thurston,San Pablo,CA,128351,36,F,Road:RR,01
322.58,Jennifer,Mix,Houston,TX,289080,38,F,Road:RR,01
327.99,Cari,Higgins,Boulder,CO,225441,37,F,Road:RR,01
331.74,Katherine,Compton,Colorado Springs,CO,55820,35,F,Road:RR,01
331.78,Laurel,Larsen,Berkeley,CA,300574,31,F,Road:RR,01
334.22,Victoria,Hanks,Pennsauken,NJ,290990,27,F,Road:RR,01
334.57,Jennifer,Burtner,Olympia,WA,273510,43,F,Road:RR,01
337.63,Jenette,Williams,Proctorville,OH,143297,42,F,Road:RR,01
339.90,Sierra,Siebenlist,Indianapolis,IN,166038,27,F,Road:RR,01
345.00,Michelle,Melka,Baltimore,MD,302454,33,F,Road:RR,01
347.09,Thea,Kent,Asheville,NC,289489,35,F,Road:RR,01
350.75,Andrea,Brennan,Manasquan,NJ,280765,43,F,Road:RR,01
352.38,Pamela,Schuster,San Diego,CA,31886,53,F,Road:RR,01
353.88,Marianne,Holt,Matthews,NC,149427,56,F,Road:RR,01
354.01,Laurie,Furman,Redwood City,CA,107768,46,F,Road:RR,01
358.03,Danielle,Ruane,Webster,NH,292549,40,F,Road:RR,01
359.47,Susan,Jones - Morgan,Simpsonville,SC,162337,42,F,Road:RR,01
367.69,Silke,Wunderwald,Hopkinton,RI,236023,42,F,Road:RR,01
368.34,Laura,Howat,Salt Lake City,UT,147582,54,F,Road:RR,01
373.19,Kristen,Meshberg,Lyons,IL,167518,43,F,Road:RR,01
374.31,Kendall,Ryan,Ventura,CA,186919,21,F,Road:RR,01
375.51,Keely,Brooks,Las Vegas,NV,206886,37,F,Road:RR,01
381.70,Priscilla,Calderon,Costa Mesa,CA,221486,28,F,Road:RR,01
385.79,Lauraleen,Fenech,San Francisco,CA,224272,56,F,Road:RR,01
390.22,Julie,Kuliecza,Richmond,VA,238481,33,F,Road:RR,01
400.59,Gabriela,Ferrat,Golden,CO,112632,41,F,Road:RR,01
404.62,Mina,Pizzini,Austin,TX,101676,46,F,Road:RR,01
407.27,Cheryl,Fuller-Muller,Cumming,GA,235133,41,F,Road:RR,01
408.00,Helene,Carabin,Nichols Hills,OK,189404,43,F,Road:RR,01
412.55,Kathryne,Carr,Salt Lake City,UT,219262,29,F,Road:RR,01
425.47,Katherine,Ross,Bristol,TN,160047,32,F,Road:RR,01
425.65,Whitney,Schultz,Fort Collins,CO,252835,25,F,Road:RR,01
427.59,Katherine,Williams,Franklin,TN,297005,31,F,Road:RR,01
427.70,Melanie,Wong,Edwards,CO,236945,28,F,Road:RR,01
429.85,Ann,Koehler,Portsmouth,NH,195481,40,F,Road:RR,01
432.97,Ginger,Snell,Seaside,CA,195991,37,F,Road:RR,01
443.62,Briana,Clark,Carmel,IN,200504,31,F,Road:RR,01
444.58,Patricia,Black,San Luis Obispo,CA,72039,51,F,Road:RR,01
451.30,Daniela,Garcia,Alhambra,CA,205934,33,F,Road:RR,01
454.32,Catherine,Dickson,Glendale,AZ,177668,49,F,Road:RR,01
456.34,Tamara,Bessette,Missoula,MT,47028,51,F,Road:RR,01
456.34,Tina,Pic,Hailey,ID,41951,47,F,Road:RR,01
458.30,Lea,Davison,Jericho,VT,164014,30,F,Road:RR,01
460.19,Mackenzie,Woodring,Belmont,MI,211079,34,F,Road:RR,01
462.05,Carrie,Cash Wootten,Saint Louis,MO,163561,42,F,Road:RR,01
463.20,Michele,Conrad,Seattle,WA,157480,46,F,Road:RR,01
464.30,Susan,Vigland,Traverse City,MI,263846,45,F,Road:RR,01
464.49,Kelli,Emmett,Colorado Springs,CO,156146,36,F,Road:RR,01
465.15,Michele,Moulton,Albany,GA,283377,42,F,Road:RR,01
465.93,Margell,Abel,Boulder,CO,1032,44,F,Road:RR,01
466.10,Katie,Bolton,Fairhope,AL,276010,31,F,Road:RR,01
468.27,Martina,Patella,Oakland,CA,195334,32,F,Road:RR,01
469.40,Erica,Allar,Tucson,AZ,174914,28,F,Road:RR,01
470.79,Melissa,Petty,Knoxville,TN,208174,40,F,Road:RR,01
471.85,Jamie,Nicholson-Leener,New York,NY,110488,54,F,Road:RR,01
473.89,Nina,Strika,Windsor,CA,81903,43,F,Road:RR,01
474.98,Kelly,Crawford,Ogden,UT,64973,52,F,Road:RR,01
476.75,Mary,Ellen Ash,Menlo Park,CA,254874,33,F,Road:RR,01
477.14,Heather,Ross,Felton,CA,239612,26,F,Road:RR,01
487.47,Trina,Jacobson,San Diego,CA,197383,37,F,Road:RR,01
492.61,Jadine,Riley,Seattle,WA,187804,39,F,Road:RR,01
492.80,Janelle,Hubbard,Centreville,VA,148558,47,F,Road:RR,01
495.78,Crystal,Howard,Carlsbad,CA,128775,40,F,Road:RR,01
502.26,Mary,Costelloe,Emmaus,PA,192297,22,F,Road:RR,01
509.13,Brenda,Lyons,Anaheim,CA,165574,44,F,Road:RR,01
509.20,Morgan,Patton,Athens,GA,257696,25,F,Road:RR,01
509.33,Lea,Adams,Newbury Park,CA,187180,43,F,Road:RR,01
510.49,Carla,Flores,Pueblo,CO,48199,55,F,Road:RR,01
515.16,Emily,Matheu,Oakland,CA,277109,34,F,Road:RR,01
516.23,Suz,Weldon,Brier,WA,187313,45,F,Road:RR,01
524.60,Debony,Diehl,Jackson,NH,198010,40,F,Road:RR,01
524.81,Jennifer,McRae,Austin,TX,55232,46,F,Road:RR,01
528.05,Sydney,Brown,Lincoln,NE,250848,44,F,Road:RR,01
529.42,Dana,Martin,San Anselmo,CA,258501,42,F,Road:RR,01
530.50,Chloe,Black,Tucson,AZ,239348,44,F,Road:RR,01
536.37,Kathryn,Clark,Savannah,GA,201335,36,F,Road:RR,01
536.47,susannah,breen,Pleasant Hill,CA,251128,32,F,Road:RR,01
536.59,Cynthia,Maree,Mukilteo,WA,411,45,F,Road:RR,01
539.43,Kate,Veronneau,Topton,PA,264024,35,F,Road:RR,01
540.44,Brenna,Lopez-Otero,Bend,OR,89447,43,F,Road:RR,01
541.00,Kate,Ligler,Sausalito,CA,206217,31,F,Road:RR,01
543.64,Katerina,Nash,Truckee,CA,188603,36,F,Road:RR,01
545.42,Lenora,Felker,Yarmouth,ME,95766,42,F,Road:RR,01
546.18,Candice,Moore,Broken Arrow,OK,306162,36,F,Road:RR,01
547.82,Jocelyn,Setter,Bothell,WA,278305,29,F,Road:RR,01
552.94,Megan,Hottman,Golden,CO,194394,34,F,Road:RR,01
553.16,Hilary,Crowley,Alameda,CA,211759,41,F,Road:RR,01
555.74,Shelby,Reynolds,Cypress,CA,188007,22,F,Road:RR,01
556.80,Anna,Drakulich,Huntington Beach,CA,211183,31,F,Road:RR,01
556.98,Megan,Horner,San Diego,CA,110930,31,F,Road:RR,01
559.73,Coleen,Knutson,Las Vegas,NV,212186,45,F,Road:RR,01
560.21,Lee,Farabaugh,Atlanta,GA,226191,36,F,Road:RR,01
560.50,Beth,Lyndon-Griffith,Seattle,WA,21930,50,F,Road:RR,01
560.66,Katherine,Sherwin,West Lake Hills,TX,161129,34,F,Road:RR,01
560.82,Beth,Fisk,Boulder,CO,175388,38,F,Road:RR,01
561.82,Stephanie,Breslin de Sosa,Centerville,OH,294010,53,F,Road:RR,01
562.57,Michelle,King,Phoenix,AZ,238539,42,F,Road:RR,01
562.64,Jill,Sugg,Anthem,AZ,270889,47,F,Road:RR,01
563.32,Sonja,Evers,Washington,DC,144435,47,F,Road:RR,01
565.06,Lindsay,Wetzel Polin,Sacramento,CA,172454,32,F,Road:RR,01
565.51,Laura,Charameda,Fulton,CA,49243,49,F,Road:RR,01
570.43,Nonnie,Howard,Phoenixville,PA,132499,41,F,Road:RR,01
572.54,Rheannon,Cunningham,Austin,TX,252159,36,F,Road:RR,01
573.38,Colleen,Hayduk,Kutztown,PA,184207,23,F,Road:RR,01
573.66,Allison,Beall,Spokane,WA,72485,33,F,Road:RR,01
573.68,Renee,Eastman,Colorado Springs,CO,41750,42,F,Road:RR,01
574.49,Kacey,Lloyd,Kutztown,PA,221431,27,F,Road:RR,01
574.82,Dara,Rogers,Newbury Park,CA,30385,51,F,Road:RR,01
575.60,Staci,Joy,Huntington,WV,239613,44,F,Road:RR,01
579.84,Jennifer,Gaertner,Coeur D Alene,ID,22279,38,F,Road:RR,01
585.93,Annette,Williams,Kenmore,WA,71338,51,F,Road:RR,01
587.69,Neva,Day,Manhattan Beach,CA,218801,44,F,Road:RR,01
592.69,Tammy,Wildgoose,San Diego,CA,272022,28,F,Road:RR,01
595.22,Kim,Bonaccorso,Long Beach,CA,54220,45,F,Road:RR,01
597.98,Nicole,Brandt,Culver City,CA,171700,31,F,Road:RR,01
169.08,Kristabel,Doebel-Hickok,Marina Del Rey,CA,366011,24,F,Road:RR,02
204.47,Joy,McCulloch,Yucaipa,CA,218863,34,F,Road:RR,02
213.58,Kimberley,Turner,Wheat Ridge,CO,260140,24,F,Road:RR,02
220.86,Jessica,Prinner,South Elgin,IL,225342,21,F,Road:RR,02
221.51,Elle,Anderson,San Francisco,CA,275441,25,F,Road:RR,02
223.61,Sarah,Sturm,Durango,CO,275320,24,F,Road:RR,02
224.86,Irena,Ossola,Santa Fe,NM,392698,25,F,Road:RR,02
226.22,Kerrin,Strevell,Valatie,NY,310389,36,F,Road:RR,02
226.71,BREANNE,NALDER,Slc,UT,263791,29,F,Road:RR,02
227.89,Cecilia,DavisHayes,Philadelphia,PA,285638,24,F,Road:RR,02
228.58,Stephanie,Wetzel,Westbrook,ME,350758,27,F,Road:RR,02
230.36,Lindsay,Fox,Phoenix,AZ,293037,30,F,Road:RR,02
233.73,BrittLee,Bowman,New York,NY,280476,29,F,Road:RR,02
234.95,Fiona,Strouts,Menlo Park,CA,338404,31,F,Road:RR,02
240.58,Joanna,Dahl,Berkeley,CA,272856,28,F,Road:RR,02
242.49,Emily,Georgeson,Culver City,CA,270631,31,F,Road:RR,02
242.59,Caitlin,Laroche,Los Angeles,CA,366797,24,F,Road:RR,02
243.14,Crystal,Anthony,Beverly,MA,182117,33,F,Road:RR,02
245.25,Suzanne,Lucash,New York,NY,310226,26,F,Road:RR,02
246.91,Michelle,Hayner,Austin,TX,355384,23,F,Road:RR,02
248.51,Sheila,Vibert,Norwich,VT,182320,32,F,Road:RR,02
248.52,Mandy,Heintz,Houston,TX,355078,32,F,Road:RR,02
249.42,Raquel,Miller,New York,NY,291594,31,F,Road:RR,02
262.13,Rosanne,Van Dorn,Lake Placid,NY,194423,40,F,Road:RR,02
262.78,Jacqueline,Parker,Mystic,CT,358174,25,F,Road:RR,02
263.60,Juliette,Olson,Cloverdale,CA,297368,40,F,Road:RR,02
264.25,Cristina,Hughes,Zephyr Cove,NV,325664,30,F,Road:RR,02
264.96,Hannah,Swan,Alpine,CA,311541,17,F,Road:RR,02
269.37,Amy,Phillips,Chattanooga,TN,337516,40,F,Road:RR,02
270.31,Camilla,Schmitz,Richardson,TX,235887,40,F,Road:RR,02
270.49,Danielle,Bradley,Waco,TX,366819,25,F,Road:RR,02
273.01,Rebecca,Siegel,Pasadena,CA,285569,26,F,Road:RR,02
273.84,Jennifer,App,Anchorage,AK,351910,43,F,Road:RR,02
274.84,Jennifer,Wagner,Houston,TX,288729,33,F,Road:RR,02
277.50,Josephine,Morgan,Oakland,CA,242553,26,F,Road:RR,02
277.67,Erica,Adelberg,New York,NY,242487,46,F,Road:RR,02
279.24,Rebecca,Hicks,New York,NY,180479,43,F,Road:RR,02
279.30,Michelle,Montoya,Allen,TX,191931,39,F,Road:RR,02
280.19,Laura,Lee Pedersen Vo,Brooklyn,NY,297234,38,F,Road:RR,02
280.40,Heather,Nielson,San Rafael,CA,237346,34,F,Road:RR,02
280.72,Kaytie,Scott,Ogden,UT,311329,27,F,Road:RR,02
280.87,Amanda,Seigle,Citrus Heights,CA,203755,31,F,Road:RR,02
281.65,Heather,Voisin,Montpelier,VT,320264,37,F,Road:RR,02
282.46,Katie,Ryan,Nashville,TN,345508,28,F,Road:RR,02
283.66,Lauren,Komanski,Winston Salem,NC,365266,28,F,Road:RR,02
285.38,Angela,des Cognets,Golden,CO,182154,45,F,Road:RR,02
286.30,Sue,McQuiston,Reisterstown,MD,231948,40,F,Road:RR,02
288.14,Megan,Hill,Saratoga Springs,UT,311104,35,F,Road:RR,02
288.50,Yuri,Matsumoto,Cambridge,MA,257093,30,F,Road:RR,02
289.12,Kimberly,Keathley,Bakersfield,CA,335196,24,F,Road:RR,02
290.67,Elizabeth,Bonilla,Galloway,NJ,265986,33,F,Road:RR,02
291.05,Caroline,Moakley,Cary,NC,305338,25,F,Road:RR,02
291.37,Donna,McMahon,Farmingdale,NY,264367,43,F,Road:RR,02
291.61,Camie,Kornely,Fort Lee,NJ,215018,40,F,Road:RR,02
292.26,Arden,Stelly,Anderson,SC,365519,37,F,Road:RR,02
293.65,Abigail,Mickey,Aspen,CO,326204,23,F,Road:RR,02
293.87,Anneliese,Haines,Newyork,NY,281541,35,F,Road:RR,02
296.22,Jennifer,Schumm,Greenwood Village,CO,363255,37,F,Road:RR,02
296.23,Jennifer,Zierke,Millbrae,CA,275670,29,F,Road:RR,02
296.77,Jeannie,Kuhajek,Crystal Lake,IL,316598,40,F,Road:RR,02
297.11,Lucia,Mokres,Redwood City,CA,262113,36,F,Road:RR,02
297.27,Meredith,Ehn,Flemington,NJ,142893,36,F,Road:RR,02
297.33,Christina,Birch,Somerville,MA,294746,27,F,Road:RR,02
299.30,Vanessa,McCaffery,Newfield,NY,222557,32,F,Road:RR,02
299.45,Julie,Bellerose,Palo Alto,CA,230896,32,F,Road:RR,02
300.12,Judith,Wexler,Davis,CA,228010,27,F,Road:RR,02
300.19,Jennie,Phillips,Danville,CA,203722,52,F,Road:RR,02
302.03,Jennifer,Pope,Chesapeake,VA,289426,38,F,Road:RR,02
303.61,Emily,Shields,Salisbury,NC,220875,20,F,Road:RR,02
304.17,Katherine,Shields,Salisbury,NC,220876,20,F,Road:RR,02
305.10,Clara,Kelly,Boxford,MA,275626,34,F,Road:RR,02
305.73,Shannon,Gaffney,San Antonio,TX,298243,33,F,Road:RR,02
306.33,Nancy,Labbe-Giguere,Belmont,MA,293974,31,F,Road:RR,02
306.68,Caryl,Gale,Hoboken,NJ,60259,49,F,Road:RR,02
307.33,Elizabeth,McCalley,Knoxville,TN,270074,31,F,Road:RR,02
307.47,Michelle,Lewis Sirianni Gacki,Frisco,TX,324294,38,F,Road:RR,02
307.80,Erin,Lamb,Santa Barbara,CA,333910,27,F,Road:RR,02
307.93,Jacqueline,McClure,Malvern,PA,323226,30,F,Road:RR,02
308.40,Erin,Donohue,Norwich,VT,299236,19,F,Road:RR,02
309.93,Ellen,Sherrill,South Lake Tahoe,CA,299535,34,F,Road:RR,02
310.21,Keri,Gibson,Pleasantview,UT,294391,39,F,Road:RR,02
313.13,Ivy,Wang,San Francisco,CA,291752,35,F,Road:RR,02
313.21,Kimberly,Fong,Berkeley,CA,238713,27,F,Road:RR,02
313.32,Jennifer,Whalen,Los Angeles,CA,352592,28,F,Road:RR,02
313.50,Sarah,Conover,Rocklin,CA,334218,41,F,Road:RR,02
314.24,Jessica,Owings,Nashville,TN,313558,34,F,Road:RR,02
315.76,Pamela,Tate,Cordova,TN,153533,45,F,Road:RR,02
317.73,Rhonda,Serr,Reno,NV,278473,33,F,Road:RR,02
319.96,Dawn,Decaminada,Lakeland,FL,360228,38,F,Road:RR,02
